date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:38:41	88238/88238	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20Oct%202020%2010:51:06%20GMT	https://apdash.themetags.com/index.html	C:/Users/Abel%20Bin%20Kandanda/Downloads/web-proojet/apdash.themetags.com/index.html	(from )
14:38:43	31/31	---M--	200	added ('OK')	text/plain	date:Tue,%2002%20Feb%202021%2005:00:12%20GMT	https://apdash.themetags.com/robots.txt		(from )
14:38:43	2361/2361	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Oct%202020%2010:51:06%20GMT	https://apdash.themetags.com/assets/img/favicon.png	C:/Users/Abel%20Bin%20Kandanda/Downloads/web-proojet/apdash.themetags.com/assets/img/favicon.png	(from https://apdash.themetags.com/index.html)
14:38:44	2599/2599	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Oct%202020%2010:51:06%20GMT	https://apdash.themetags.com/assets/img/logo-color.png	C:/Users/Abel%20Bin%20Kandanda/Downloads/web-proojet/apdash.themetags.com/assets/img/logo-color.png	(from https://apdash.themetags.com/index.html)
14:38:44	1718/1718	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Oct%202020%2010:51:06%20GMT	https://apdash.themetags.com/assets/img/logo-white.png	C:/Users/Abel%20Bin%20Kandanda/Downloads/web-proojet/apdash.themetags.com/assets/img/logo-white.png	(from https://apdash.themetags.com/index.html)
14:38:45	766488/766488	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Oct%202020%2010:41:48%20GMT	https://apdash.themetags.com/assets/css/main.css	C:/Users/Abel%20Bin%20Kandanda/Downloads/web-proojet/apdash.themetags.com/assets/css/main.css	(from https://apdash.themetags.com/index.html)
14:38:46	83913/83913	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20Oct%202020%2010:51:06%20GMT	https://apdash.themetags.com/index-2.html	C:/Users/Abel%20Bin%20Kandanda/Downloads/web-proojet/apdash.themetags.com/index-2.html	(from https://apdash.themetags.com/index.html)
14:38:46	75197/75197	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20Oct%202020%2010:51:06%20GMT	https://apdash.themetags.com/index-3.html	C:/Users/Abel%20Bin%20Kandanda/Downloads/web-proojet/apdash.themetags.com/index-3.html	(from https://apdash.themetags.com/index.html)
14:38:47	81363/81363	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20Oct%202020%2010:51:06%20GMT	https://apdash.themetags.com/index-4.html	C:/Users/Abel%20Bin%20Kandanda/Downloads/web-proojet/apdash.themetags.com/index-4.html	(from https://apdash.themetags.com/index.html)
14:38:47	80535/80535	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20Oct%202020%2010:51:06%20GMT	https://apdash.themetags.com/index-5.html	C:/Users/Abel%20Bin%20Kandanda/Downloads/web-proojet/apdash.themetags.com/index-5.html	(from https://apdash.themetags.com/index.html)
